"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","23.7569"
"7/31/2015","1438300800","48.1584"
"8/1/2015","1438387200","55.2709"
"8/2/2015","1438473600","64.1779"
"8/3/2015","1438560000","69.8559"
"8/4/2015","1438646400","76.6115"
"8/5/2015","1438732800","81.9449"
"8/6/2015","1438819200","82.9366"
"8/7/2015","1438905600","89.6063"
"8/8/2015","1438992000","97.6083"
"8/9/2015","1439078400","102.5407"
"8/10/2015","1439164800","113.1109"
"8/11/2015","1439251200","126.6631"
"8/12/2015","1439337600","132.7661"
"8/13/2015","1439424000","144.8995"
"8/14/2015","1439510400","183.5527"
"8/15/2015","1439596800","213.9622"
"8/16/2015","1439683200","220.8548"
"8/17/2015","1439769600","245.4865"
"8/18/2015","1439856000","253.7123"
"8/19/2015","1439942400","269.2527"
"8/20/2015","1440028800","252.3917"
"8/21/2015","1440115200","263.4014"
"8/22/2015","1440201600","298.2545"
"8/23/2015","1440288000","303.0820"
"8/24/2015","1440374400","314.6624"
"8/25/2015","1440460800","309.2154"
"8/26/2015","1440547200","327.8673"
"8/27/2015","1440633600","327.6196"
"8/28/2015","1440720000","340.1254"
"8/30/2015","1440892800","332.4474"
"8/29/2015","1440806400","339.3919"
"8/31/2015","1440979200","351.2291"
"9/1/2015","1441065600","354.1181"
"9/2/2015","1441152000","349.6263"
"9/3/2015","1441238400","331.5756"
"9/4/2015","1441324800","340.3879"
"9/5/2015","1441411200","361.5994"
"9/6/2015","1441497600","371.3126"
"9/7/2015","1441584000","360.9598"
"9/8/2015","1441670400","352.7229"
"9/9/2015","1441756800","368.0392"
"9/10/2015","1441843200","371.1206"
"9/11/2015","1441929600","397.2576"
"9/12/2015","1442016000","405.6008"
"9/13/2015","1442102400","412.3321"
"9/14/2015","1442188800","380.4038"
"9/15/2015","1442275200","366.6357"
"9/16/2015","1442361600","362.0796"
"9/17/2015","1442448000","342.0493"
"9/18/2015","1442534400","326.1315"
"9/19/2015","1442620800","332.9998"
"9/20/2015","1442707200","390.7766"
"9/21/2015","1442793600","393.8171"
"9/22/2015","1442880000","395.4227"
"9/23/2015","1442966400","422.5629"
"9/24/2015","1443052800","417.5910"
"9/25/2015","1443139200","421.4033"
"9/26/2015","1443225600","423.4245"
"9/27/2015","1443312000","412.8378"
"9/28/2015","1443398400","379.0354"
"9/29/2015","1443484800","330.5963"
"9/30/2015","1443571200","315.1845"
"10/2/2015","1443744000","364.9391"
"10/1/2015","1443657600","347.9262"
"10/3/2015","1443830400","378.3587"
"10/4/2015","1443916800","360.3209"
"10/5/2015","1444003200","373.8427"
"10/6/2015","1444089600","361.6866"
"10/7/2015","1444176000","354.5899"
"10/8/2015","1444262400","364.4138"
"10/9/2015","1444348800","355.5959"
"10/10/2015","1444435200","351.0840"
"10/11/2015","1444521600","368.0058"
"10/12/2015","1444608000","378.7687"
"10/13/2015","1444694400","384.9138"
"10/14/2015","1444780800","379.3914"
"10/15/2015","1444867200","361.6693"
"10/16/2015","1444953600","336.9025"
"10/17/2015","1445040000","360.0608"
"10/18/2015","1445126400","349.8902"
"10/19/2015","1445212800","347.3344"
"10/20/2015","1445299200","343.9115"
"10/21/2015","1445385600","346.8015"
"10/22/2015","1445472000","326.6268"
"10/23/2015","1445558400","365.8809"
"10/24/2015","1445644800","387.2388"
"10/25/2015","1445731200","399.0500"
"10/26/2015","1445817600","379.5194"
"10/27/2015","1445904000","402.6895"
"10/28/2015","1445990400","399.8592"
"10/29/2015","1446076800","428.9193"
"10/30/2015","1446163200","461.8848"
"10/31/2015","1446249600","474.3059"
"11/1/2015","1446336000","475.3902"
"11/2/2015","1446422400","458.2611"
"11/3/2015","1446508800","441.5678"
"11/4/2015","1446595200","465.7518"
"11/5/2015","1446681600","455.3749"
"11/6/2015","1446768000","464.8882"
"11/7/2015","1446854400","443.1504"
"11/8/2015","1446940800","459.0328"
"11/9/2015","1447027200","461.3202"
"11/10/2015","1447113600","463.7579"
"11/11/2015","1447200000","454.7690"
"11/12/2015","1447286400","465.8401"
"11/13/2015","1447372800","479.0797"
"11/14/2015","1447459200","481.9432"
"11/15/2015","1447545600","505.8890"
"11/16/2015","1447632000","499.1223"
"11/17/2015","1447718400","500.6890"
"11/18/2015","1447804800","515.9244"
"11/19/2015","1447891200","527.3325"
"11/20/2015","1447977600","444.6029"
"11/21/2015","1448064000","452.9449"
"11/22/2015","1448150400","453.2137"
"11/23/2015","1448236800","460.4471"
"11/24/2015","1448323200","451.9348"
"11/25/2015","1448409600","437.6937"
"11/26/2015","1448496000","440.4046"
"11/27/2015","1448582400","458.0060"
"11/28/2015","1448668800","460.0296"
"11/29/2015","1448755200","467.2217"
"11/30/2015","1448841600","470.9538"
"12/1/2015","1448928000","470.8828"
"12/2/2015","1449014400","446.5842"
"12/3/2015","1449100800","465.4228"
"12/4/2015","1449187200","464.7690"
"12/5/2015","1449273600","484.0832"
"12/6/2015","1449360000","456.1653"
"12/7/2015","1449446400","451.5806"
"12/8/2015","1449532800","440.4392"
"12/10/2015","1449705600","472.5491"
"12/9/2015","1449619200","451.5592"
"12/11/2015","1449792000","482.2872"
"12/12/2015","1449878400","485.3189"
"12/13/2015","1449964800","527.4325"
"12/14/2015","1450051200","507.6232"
"12/15/2015","1450137600","525.7241"
"12/16/2015","1450224000","507.0430"
"12/17/2015","1450310400","525.5147"
"12/18/2015","1450396800","521.9400"
"12/19/2015","1450483200","521.0237"
"12/20/2015","1450569600","508.7178"
"12/21/2015","1450656000","503.4873"
"12/22/2015","1450742400","532.5519"
"12/23/2015","1450828800","515.6242"
"12/24/2015","1450915200","510.9724"
"12/25/2015","1451001600","513.0784"
"12/26/2015","1451088000","503.1197"
"12/27/2015","1451174400","513.1455"
"12/28/2015","1451260800","519.2876"
"12/29/2015","1451347200","507.0365"
"12/30/2015","1451433600","505.9181"
"12/31/2015","1451520000","511.0014"
"1/1/2016","1451606400","498.5749"
"1/2/2016","1451692800","492.1201"
"1/3/2016","1451779200","509.4547"
"1/4/2016","1451865600","508.1827"
"1/5/2016","1451952000","513.2618"
"1/6/2016","1452038400","513.8092"
"1/7/2016","1452124800","490.9855"
"1/8/2016","1452211200","516.4913"
"1/9/2016","1452297600","514.4362"
"1/10/2016","1452384000","510.7642"
"1/11/2016","1452470400","541.9062"
"1/12/2016","1452556800","522.5879"
"1/13/2016","1452643200","508.8842"
"1/14/2016","1452729600","532.0852"
"1/15/2016","1452816000","550.7681"
"1/16/2016","1452902400","557.6853"
"1/17/2016","1452988800","548.1829"
"1/18/2016","1453075200","575.3153"
"1/19/2016","1453161600","572.2182"
"1/20/2016","1453248000","572.1047"
"1/21/2016","1453334400","573.7090"
"1/23/2016","1453507200","596.8191"
"1/22/2016","1453420800","597.3168"
"1/24/2016","1453593600","628.6510"
"1/25/2016","1453680000","605.5737"
"1/26/2016","1453766400","658.7338"
"1/27/2016","1453852800","647.7358"
"1/28/2016","1453939200","624.3007"
"1/29/2016","1454025600","639.9955"
"1/30/2016","1454112000","647.0259"
"1/31/2016","1454198400","615.8746"
"2/1/2016","1454284800","654.1278"
"2/2/2016","1454371200","630.3772"
"2/3/2016","1454457600","672.6015"
"2/4/2016","1454544000","670.9910"
"2/5/2016","1454630400","670.5626"
"2/6/2016","1454716800","647.0863"
"2/7/2016","1454803200","670.8703"
"2/8/2016","1454889600","700.3927"
"2/9/2016","1454976000","674.4033"
"2/10/2016","1455062400","686.6895"
"2/11/2016","1455148800","715.5490"
"2/12/2016","1455235200","689.2240"
"2/13/2016","1455321600","728.3101"
"2/14/2016","1455408000","744.6017"
"2/15/2016","1455494400","760.8675"
"2/16/2016","1455580800","758.1305"
"2/17/2016","1455667200","737.5344"
"2/18/2016","1455753600","723.4539"
"2/19/2016","1455840000","758.4649"
"2/20/2016","1455926400","772.5410"
"2/21/2016","1456012800","776.9570"
"2/22/2016","1456099200","818.0979"
"2/23/2016","1456185600","822.7791"
"2/24/2016","1456272000","822.5628"
"2/25/2016","1456358400","833.5308"
"2/26/2016","1456444800","851.8002"
"2/27/2016","1456531200","871.6768"
"2/28/2016","1456617600","889.7172"
"2/29/2016","1456704000","868.4570"
"3/1/2016","1456790400","887.5800"
"3/2/2016","1456876800","915.7752"
"3/4/2016","1457049600","970.9779"
"3/3/2016","1456963200","945.4459"
"3/5/2016","1457136000","1022.7687"
"3/6/2016","1457222400","1030.5122"
"3/7/2016","1457308800","1037.0411"
"3/8/2016","1457395200","1054.0514"
"3/9/2016","1457481600","1074.1375"
"3/10/2016","1457568000","1131.0236"
"3/11/2016","1457654400","1135.2724"
"3/12/2016","1457740800","1189.2959"
"3/13/2016","1457827200","1270.7701"
"3/14/2016","1457913600","1231.9938"
"3/15/2016","1458000000","1259.5857"
"3/16/2016","1458086400","1285.0031"
"3/17/2016","1458172800","1325.0584"
"3/18/2016","1458259200","1327.0590"
"3/19/2016","1458345600","1376.7015"
"3/20/2016","1458432000","1413.2109"
"3/21/2016","1458518400","1392.9337"
"3/22/2016","1458604800","1431.5834"
"3/23/2016","1458691200","1354.1250"
"3/24/2016","1458777600","1465.4863"
"3/25/2016","1458864000","1533.2559"
"3/26/2016","1458950400","1580.9776"
"3/27/2016","1459036800","1607.1295"
"3/28/2016","1459123200","1572.9770"
"3/29/2016","1459209600","1640.0171"
"3/30/2016","1459296000","1661.3373"
"3/31/2016","1459382400","1740.8734"
"4/1/2016","1459468800","1752.2564"
"4/2/2016","1459555200","1690.6343"
"4/3/2016","1459641600","1772.8640"
"4/4/2016","1459728000","1851.6657"
"4/5/2016","1459814400","1865.4800"
"4/6/2016","1459900800","1844.5670"
"4/7/2016","1459987200","1769.2094"
"4/9/2016","1460160000","1931.9635"
"4/8/2016","1460073600","1920.6299"
"4/10/2016","1460246400","1988.8526"
"4/11/2016","1460332800","1941.1691"
"4/12/2016","1460419200","1905.1962"
"4/13/2016","1460505600","1982.2295"
"4/14/2016","1460592000","2010.6356"
"4/15/2016","1460678400","2060.9441"
"4/16/2016","1460764800","2114.0102"
"4/17/2016","1460851200","2049.9112"
"4/18/2016","1460937600","2171.2487"
"4/19/2016","1461024000","2175.4428"
"4/20/2016","1461110400","2203.5227"
"4/21/2016","1461196800","2236.3551"
"4/22/2016","1461283200","2164.6218"
"4/23/2016","1461369600","2253.0424"
"4/24/2016","1461456000","2222.1600"
"4/25/2016","1461542400","2334.1663"
"4/26/2016","1461628800","2275.5506"
"4/27/2016","1461715200","2274.0961"
"4/28/2016","1461801600","2332.6090"
"4/29/2016","1461888000","2381.1960"
"4/30/2016","1461974400","2464.3749"
"5/1/2016","1462060800","2483.9739"
"5/2/2016","1462147200","2366.3607"
"5/3/2016","1462233600","2514.4874"
"5/4/2016","1462320000","2466.9919"
"5/5/2016","1462406400","2469.4398"
"5/6/2016","1462492800","2487.3635"
"5/7/2016","1462579200","2479.4817"
"5/8/2016","1462665600","2524.4188"
"5/9/2016","1462752000","2527.5545"
"5/10/2016","1462838400","2611.3974"
"5/11/2016","1462924800","2494.9291"
"5/12/2016","1463011200","2570.3669"
"5/13/2016","1463097600","2740.3505"
"5/14/2016","1463184000","2678.8075"
"5/15/2016","1463270400","2703.4159"
"5/16/2016","1463356800","2700.3155"
"5/17/2016","1463443200","2695.5977"
"5/18/2016","1463529600","2776.5532"
"5/19/2016","1463616000","2874.0021"
"5/20/2016","1463702400","2921.1910"
"5/21/2016","1463788800","2953.0599"
"5/22/2016","1463875200","2939.4714"
"5/23/2016","1463961600","2945.5758"
"5/24/2016","1464048000","2979.1646"
"5/25/2016","1464134400","2991.9856"
"5/26/2016","1464220800","3081.4600"
"5/27/2016","1464307200","3061.2168"
"5/28/2016","1464393600","3125.7879"
"5/29/2016","1464480000","3190.3497"
"5/30/2016","1464566400","3155.4620"
"5/31/2016","1464652800","3143.7122"
"6/1/2016","1464739200","3063.3100"
"6/2/2016","1464825600","3147.8944"
"6/3/2016","1464912000","3308.6930"
"6/5/2016","1465084800","3255.0754"
"6/4/2016","1464998400","3298.5600"
"6/6/2016","1465171200","3351.4061"
"6/7/2016","1465257600","3360.3335"
"6/8/2016","1465344000","3370.3852"
"6/9/2016","1465430400","3545.2821"
"6/10/2016","1465516800","3343.8621"
"6/11/2016","1465603200","3473.5992"
"6/12/2016","1465689600","3454.4361"
"6/13/2016","1465776000","3595.9303"
"6/14/2016","1465862400","3640.3548"
"6/15/2016","1465948800","3635.0092"
"6/16/2016","1466035200","3607.3920"
"6/17/2016","1466121600","3500.2236"
"6/18/2016","1466208000","3366.6746"
"6/19/2016","1466294400","3728.4821"
"6/20/2016","1466380800","3698.1504"
"6/21/2016","1466467200","3631.4180"
"6/22/2016","1466553600","3789.5576"
"6/23/2016","1466640000","3855.5441"
"6/24/2016","1466726400","3872.1134"
"6/25/2016","1466812800","3858.2335"
"6/26/2016","1466899200","3953.8207"
"6/27/2016","1466985600","4028.7283"
"6/28/2016","1467072000","4098.3325"
"6/29/2016","1467158400","3987.5764"
"6/30/2016","1467244800","3985.2830"
"7/1/2016","1467331200","4079.6463"
"7/2/2016","1467417600","4128.3988"
"7/3/2016","1467504000","4218.2585"
"7/4/2016","1467590400","4220.1757"
"7/5/2016","1467676800","4207.4557"
"7/6/2016","1467763200","4197.2067"
"7/7/2016","1467849600","4204.9805"
"7/8/2016","1467936000","4178.4236"
"7/9/2016","1468022400","4178.8499"
"7/10/2016","1468108800","4246.1162"
"7/11/2016","1468195200","4316.6790"
"7/12/2016","1468281600","4341.3838"
"7/13/2016","1468368000","4376.3964"
"7/14/2016","1468454400","4336.1406"
"7/15/2016","1468540800","4244.7849"
"7/16/2016","1468627200","4308.5953"
"7/17/2016","1468713600","4336.7179"
"7/18/2016","1468800000","4437.5176"
"7/19/2016","1468886400","4369.9745"
"7/20/2016","1468972800","4277.1166"
"7/21/2016","1469059200","4437.1791"
"7/22/2016","1469145600","4291.8557"
"7/23/2016","1469232000","4449.4236"
"7/24/2016","1469318400","4372.8166"
"7/25/2016","1469404800","4225.5390"
"7/26/2016","1469491200","4064.8940"
"7/27/2016","1469577600","3791.4432"
